series,break,window_id,d_global,d_local,delta_d,mse_improvement,segmented,rho_global,rho_local,delta_rho
NAPMPMI,Eurozone,EurozoneW3,0.7,0.95,0.25,0.6047,True,0.30000000000000004,0.050000000000000044,-0.25
CPI,LatinAmerica,LatinAmericaW1,0.05,0.7,0.65,0.5204,True,0.95,0.30000000000000004,-0.6499999999999999
MXUERATE,EurozoneSlowdown,EurozoneSlowdownW1,0.55,0.0,-0.55,0.3313,True,0.44999999999999996,1.0,0.55
MXUERATE,LatinAmerica,LatinAmericaW1,0.0,0.55,0.55,0.294,True,1.0,0.44999999999999996,-0.55
IPLAST,LatinAmerica,LatinAmericaW1,0.25,0.2,-0.05,0.2764,True,0.75,0.8,0.050000000000000044
NAPMNMI,EurozoneSlowdown,EurozoneSlowdownW1,0.4,0.0,-0.4,0.2035,True,0.6,1.0,0.4
MXCP,EurozoneSlowdown,EurozoneSlowdownW1,0.05,0.25,0.2,0.2018,True,0.95,0.75,-0.19999999999999996
MXCCLAST,EurozoneSlowdown,EurozoneSlowdownW1,0.65,0.25,-0.4,0.1708,True,0.35,0.75,0.4
NAPMPMI,LatinAmerica,LatinAmericaW1,0.4,0.1,-0.3,0.1668,True,0.6,0.9,0.30000000000000004
CPIX,LatinAmerica,LatinAmericaW1,0.55,0.15,-0.4,0.0909,True,0.44999999999999996,0.85,0.4
CPI,EurozoneSlowdown,EurozoneSlowdownW1,0.5008,0.4287,-0.0721,0.0369,False,0.4992,0.5713,0.0721
NAPMPMI,EurozoneSlowdown,EurozoneSlowdownW1,0.6996,0.722,0.0224,0.0354,False,0.3004,0.278,-0.0224
MXUERATE,LatinAmerica,LatinAmericaW1,0.5811,0.5395,-0.0416,0.0228,False,0.4189,0.4605,0.0416
MXCP,Eurozone,EurozoneW1,0.6743,0.7313000000000001,0.057,0.0116,False,0.3257,0.2687,-0.057
MXCP,LatinAmerica,LatinAmericaW1,0.167,0.17200000000000001,0.005,0.0047,False,0.833,0.828,-0.005
IPLAST,Eurozone,EurozoneW1,0.599,0.5357,-0.0633,0.0033,False,0.401,0.4643,0.0633
MXUERATE,Eurozone,EurozoneW1,0.763,0.6994,-0.0636,-0.0037,False,0.237,0.3006,0.0636
IPLAST,EurozoneSlowdown,EurozoneSlowdownW1,0.0654,0.0387,-0.0267,-0.0226,False,0.9346,0.9613,0.0267
CPI,Eurozone,EurozoneW1,0.3309,0.27340000000000003,-0.0575,-0.032,False,0.6691,0.7266,0.0575
MXCCLAST,LatinAmerica,LatinAmericaW1,0.167,0.1534,-0.0136,-0.0347,False,0.833,0.8466,0.0136
NAPMNMI,LatinAmerica,LatinAmericaW1,0.7774,0.7686,-0.0088,-0.0412,False,0.2226,0.2314,0.0088
CPIX,EurozoneSlowdown,EurozoneSlowdownW1,0.0936,0.051800000000000006,-0.0418,-0.0441,False,0.9064,0.9482,0.0418
NAPMNMI,Eurozone,EurozoneW1,0.499,0.4598,-0.0392,-0.0458,False,0.501,0.5402,0.0392
